observation_date,WM2NS
2020-03-02,15510.5
2020-03-09,15646.2
2020-03-16,15839.8
2020-03-23,16210.2
2020-03-30,16629.2
2020-04-06,16787.7
2020-04-13,16934.3
2020-04-20,17195.5
2020-04-27,17334.5
2020-05-04,17552.5
2020-05-11,17690.3
2020-05-18,17822.9
2020-05-25,17797.8
2020-06-01,17928.9
2020-06-08,18040.9
2020-06-15,18129.2
2020-06-22,18119.7
2020-06-29,18174.2
2020-07-06,18357.3
2020-07-13,18360.2
2020-07-20,18257.8
2020-07-27,18125.7
2020-08-03,18237.4
2020-08-10,18304.0
2020-08-17,18373.4
2020-08-24,18273.8
2020-08-31,18392.9
2020-09-07,18528.3
2020-09-14,18612.0
2020-09-21,18564.3
2020-09-28,18501.7
2020-10-05,18645.4
2020-10-12,18657.7
2020-10-19,18713.2
2020-10-26,18650.9
2020-11-02,18838.4
2020-11-09,18918.0
2020-11-16,19000.8
2020-11-23,18975.5
2020-11-30,19055.3
2020-12-07,19161.0
2020-12-14,19210.1
2020-12-21,19263.3
2020-12-28,19294.3
2021-01-04,19365.0
2021-01-11,19426.0
2021-01-18,19396.6
2021-01-25,19277.8
2021-02-01,19382.4
2021-02-08,19416.2
2021-02-15,19523.7
2021-02-22,19533.9
2021-03-01,19620.7
2021-03-08,19712.8
2021-03-15,19849.9
2021-03-22,20027.0
2021-03-29,20100.9
2021-04-05,20305.7
2021-04-12,20297.8
2021-04-19,20290.6
2021-04-26,20137.0
